Old URL,Page type,Existing status,Canonical (old),Title (old),Meta description (old),H1 (old),Indexability (old),Legitimacy status,New URL,Required action,Notes
https://insertshub.com/terms-conditions/,page,200,https://insertshub.com/terms-conditions/,Terms & Conditions - Inserts Hub,The terms and conditions that apply to orders placed with Inserts Hub.,Terms & Conditions,"index,follow",Legitimate,https://insertshub.com/terms-conditions/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/thank-you/,page (utility),200,https://insertshub.com/thank-you/,Thank You - Inserts Hub,Thank you for contacting Inserts Hub. Our team will reply to your enquiry shortly.,Thank you,"index,follow",Legitimate,https://insertshub.com/thank-you/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/about-us-2/,page (duplicate),200,https://insertshub.com/about-us-2/,About Us - Inserts Hub,"Learn about Inserts Hub, a wholesale supplier of custom packaging inserts for businesses of every size.",About Us,"index,follow","Legitimate page, duplicate + spam-injected",https://insertshub.com/about-us/,301 redirect (1 hop),Same title/H1 as /about-us/; carried injected casino spam. Folded into the canonical About page.
https://insertshub.com/cart/,WooCommerce utility,200,https://insertshub.com/cart/,Cart - Inserts Hub,"Browse every custom packaging insert from Inserts Hub: cardboard, corrugated, foam, kraft, paperboard, molded pulp and plastic inserts at wholesale prices.",Products,"index,follow","WooCommerce utility, spam-injected",https://insertshub.com/products/,301 redirect (1 hop),"Cart/checkout/account pages carried the injected gambling spam. The site sells by quote, so there is no storefront to preserve."
https://insertshub.com/checkout/,WooCommerce utility,302,https://insertshub.com/checkout/,Checkout - Inserts Hub,"Browse every custom packaging insert from Inserts Hub: cardboard, corrugated, foam, kraft, paperboard, molded pulp and plastic inserts at wholesale prices.",Products,n/a,"WooCommerce utility, spam-injected",https://insertshub.com/products/,301 redirect (1 hop),"Cart/checkout/account pages carried the injected gambling spam. The site sells by quote, so there is no storefront to preserve."
https://insertshub.com/my-account/,WooCommerce utility,200,https://insertshub.com/my-account/,My account - Inserts Hub,"Contact Inserts Hub for custom cardboard, corrugated, foam, kraft, paperboard, molded pulp inserts, trays, dividers, and holders.",We’re Here to Help!,"index,follow","WooCommerce utility, spam-injected",https://insertshub.com/contact-us/,301 redirect (1 hop),"Cart/checkout/account pages carried the injected gambling spam. The site sells by quote, so there is no storefront to preserve."
https://insertshub.com/product-category/foam-inserts/,product category (empty),200,https://insertshub.com/product-category/foam-inserts/,Foam Inserts Archives - Inserts Hub,"Browse every custom packaging insert from Inserts Hub: cardboard, corrugated, foam, kraft, paperboard, molded pulp and plastic inserts at wholesale prices.",Products,"index,follow",Legitimate but empty,https://insertshub.com/products/,301 redirect (1 hop),"Zero products, never in the sitemap."
https://insertshub.com/product/printed-cardboard-inserts/,product (draft),404,,,Looking for custom packaging solutions? Inserts Hub provides custom cardboard inserts tailored to your specific needs. Order today.,Custom Cardboard Inserts,n/a,Never published (draft),https://insertshub.com/product/custom-cardboard-inserts/,301 redirect (1 hop),Returned 404 on the old site but was still linked from live copy; repointed to the closest live product.
https://insertshub.com/product/recycled-cardboard-inserts/,product (draft),404,,,"Elevate your packaging with custom kraft paper inserts. High-quality, eco-friendly, and customizable to fit your brand. Quote Now!",Custom Kraft Paper Inserts,n/a,Never published (draft),https://insertshub.com/product/custom-kraft-paper-inserts/,301 redirect (1 hop),Returned 404 on the old site but was still linked from live copy; repointed to the closest live product.
https://insertshub.com/product/White-cardboard-inserts/,product (casing variant),200,https://insertshub.com/product/White-cardboard-inserts/,Custom White Cardboard Inserts Packaging | Inserts Hub,"Get custom white cardboard inserts packaging at Inserts Hub. Durable, eco-friendly designs tailored to protect and present your products. Order now!",White Cardboard Inserts,"index,follow",Duplicate casing variant,https://insertshub.com/product/white-cardboard-inserts/,301 redirect (1 hop),WordPress served this at 200 alongside the lowercase slug — duplicate content.
https://insertshub.com/sitemap_index.xml,sitemap index,200,https://insertshub.com/sitemap_index.xml,,,,"index,follow",Legitimate,https://insertshub.com/sitemap.xml,301 redirect (1 hop),Yoast sitemap index replaced by a single /sitemap.xml.
https://insertshub.com/product/custom-foam-inserts/,product,200,https://insertshub.com/product/custom-foam-inserts/,Custom Printed Foam Inserts Boxes with Logo | Inserts Hub,"Looking for custom foam inserts? Inserts Hub offers wholesale pricing, free design, and various printing options. Quote Now!",Custom Foam Inserts,"index,follow",Legitimate,https://insertshub.com/product/custom-foam-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/cupcake-boxes-with-inserts/,product,200,https://insertshub.com/product/cupcake-boxes-with-inserts/,Wholesale Cupcake Boxes With Inserts | Inserts Hub,"Wholesale cupcake boxes with inserts for bakery businesses. High-quality materials, fast turnaround times, and competitive pricing.",Cupcake Boxes With Inserts,"index,follow",Legitimate,https://insertshub.com/product/cupcake-boxes-with-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/cardboard-box-inserts/,product,200,https://insertshub.com/product/cardboard-box-inserts/,Custom Cardboard Box Inserts At Packaging | Inserts Hub,"Custom cardboard box inserts for product protection and branding. Wholesale pricing, fast turnaround, free design. Quote Us.",Cardboard Box Inserts,"index,follow",Legitimate,https://insertshub.com/product/cardboard-box-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/box-divider-inserts/,product,200,https://insertshub.com/product/box-divider-inserts/,Get Custom Box Divider Inserts Print & Packaging | Inserts Hub,Keep your packages neat and organized with our durable box divider inserts. Customize your packaging to fit any product size and shape.,Box Divider Inserts,"index,follow",Legitimate,https://insertshub.com/product/box-divider-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/candle-boxes-with-inserts/,product,200,https://insertshub.com/product/candle-boxes-with-inserts/,Candle Boxes With Inserts at Wholesale Rates | Inserts Hub,Custom candle boxes with inserts at wholesale prices. Protect and showcase your candles with high-quality packaging. Quote Now.,Candle Boxes With Inserts,"index,follow",Legitimate,https://insertshub.com/product/candle-boxes-with-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/mailer-box-inserts/,product,200,https://insertshub.com/product/mailer-box-inserts/,Custom Mailer Box Inserts Wholesale Price | Inserts Hub,"Enhance your packaging with custom Mailer Box Inserts. High-quality materials, fast turnaround, and free design services. Order now!",Mailer Box Inserts,"index,follow",Legitimate,https://insertshub.com/product/mailer-box-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/candy-box-inserts/,product,200,https://insertshub.com/product/candy-box-inserts/,Buy Custom Candy Box Inserts | Inserts Hub,"Custom candy box inserts at wholesale prices. Free design, fast turnaround, and high-quality materials. Enhance your packaging today.",Candy Box Inserts,"index,follow",Legitimate,https://insertshub.com/product/candy-box-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/mini-cupcake-inserts/,product,200,https://insertshub.com/product/mini-cupcake-inserts/,Order Custom Mini Cupcake Boxes and Inserts | Inserts Hub,"Wholesale Mini Cupcake Inserts: High-Quality Inserts for Your Cupcakes. Custom sizes, styles, & coatings.Inserts Hub offers various options & fast delivery.",Mini Cupcake Inserts,"index,follow",Legitimate,https://insertshub.com/product/mini-cupcake-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/custom-cardboard-inserts/,product,200,https://insertshub.com/product/custom-cardboard-inserts/,Buy Custom Cardboard Inserts | Inserts Hub,Looking for custom packaging solutions? Inserts Hub provides custom cardboard inserts tailored to your specific needs. Order today.,Custom Cardboard Inserts,"index,follow",Legitimate,https://insertshub.com/product/custom-cardboard-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/cardboard-divider-inserts/,product,200,https://insertshub.com/product/cardboard-divider-inserts/,Get Cardboard Divider Inserts | Inserts Hub,"High-quality cardboard divider inserts for packaging. Customizable sizes, styles, and coatings. Fast turnaround times. Order now!",Cardboard Divider Inserts,"index,follow",Legitimate,https://insertshub.com/product/cardboard-divider-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/pizza-box-inserts/,product,200,https://insertshub.com/product/pizza-box-inserts/,"Get Custom Pizza Box Inserts, Wholesale Price | Inserts Hub","Order now and get free design, fast shipping, and various printing options for your pizza boxes. Fast turnaround, free design, and multiple coating options.",Pizza Box Inserts,"index,follow",Legitimate,https://insertshub.com/product/pizza-box-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/chocolate-box-inserts/,product,200,https://insertshub.com/product/chocolate-box-inserts/,Get Chocolate Box Inserts Prints & Packaging| Inserts Hub,"Custom chocolate box inserts for a luxurious unboxing experience. High-quality materials, fast turnaround, and free design services.",Chocolate Box Inserts,"index,follow",Legitimate,https://insertshub.com/product/chocolate-box-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/foam-inserts-for-gift-boxes/,product,200,https://insertshub.com/product/foam-inserts-for-gift-boxes/,"Foam Inserts For Gift Boxes Wholesale, Packaging | Inserts Hub","Custom foam inserts for gift boxes at wholesale prices. Protect and showcase your products with high-quality, custom-fit packaging.",Foam Inserts For Gift Boxes,"index,follow",Legitimate,https://insertshub.com/product/foam-inserts-for-gift-boxes/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/cookie-boxes-with-inserts/,product,200,https://insertshub.com/product/cookie-boxes-with-inserts/,Order Cookie Boxes With Inserts & Packaging | Inserts Hub,"Wholesale cookie boxes with inserts. Choose from various sizes, styles, and printing options. Get your free quote at Inserts Hub.",Cookie Boxes With Inserts,"index,follow",Legitimate,https://insertshub.com/product/cookie-boxes-with-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/truffle-boxes-with-inserts/,product,200,https://insertshub.com/product/truffle-boxes-with-inserts/,Order Truffle Boxes With Inserts & Packaging | Inserts Hub,"Shop custom Truffle Boxes with inserts for secure packaging. Durable materials, stylish designs, and a range of coating options.",Truffle Boxes With Inserts,"index,follow",Legitimate,https://insertshub.com/product/truffle-boxes-with-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/custom-paperboard-inserts/,product,200,https://insertshub.com/product/custom-paperboard-inserts/,Buy Custom Paperboard Inserts Wholesale Price | Inserts Hub,"Customize your inserts with the Inserts Hub. Get free design, shipping, and competitive pricing on wholesale paperboard inserts.",Custom Paperboard Inserts,"index,follow",Legitimate,https://insertshub.com/product/custom-paperboard-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/custom-corrugated-cardboard-inserts/,product,200,https://insertshub.com/product/custom-corrugated-cardboard-inserts/,Get Custom Corrugated Cardboard Inserts In Bulk | Inserts Hub,"Custom corrugated cardboard inserts for product packaging. Wholesale prices, various coating options, fast turnaround. Order now!",Custom Corrugated Cardboard Inserts,"index,follow",Legitimate,https://insertshub.com/product/custom-corrugated-cardboard-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/custom-kraft-paper-inserts/,product,200,https://insertshub.com/product/custom-kraft-paper-inserts/,Custom Kraft Paper Inserts Wholesale & packaging | Inserts Hub,"Elevate your packaging with custom kraft paper inserts. High-quality, eco-friendly, and customizable to fit your brand. Quote Now!",Custom Kraft Paper Inserts,"index,follow",Legitimate,https://insertshub.com/product/custom-kraft-paper-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/product-packaging-inserts/,product,200,https://insertshub.com/product/product-packaging-inserts/,Custom Product Packaging Inserts | Wholesale & Design,Custom Product Packaging Inserts prevent damage and secure products like electronics/cosmetics. Wholesale supply and free design support.,Product Packaging Inserts,"index,follow",Legitimate,https://insertshub.com/product/product-packaging-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/die-cut-inserts/,product,200,https://insertshub.com/product/die-cut-inserts/,Custom Die Cut Inserts for Packaging | Inserts Hub,"Precision Die Cut Inserts secure fragile products in packaging inserts, eliminating damage. Custom design and quick supply available.",Die Cut Inserts,"index,follow",Legitimate,https://insertshub.com/product/die-cut-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/cardboard-inserts-for-bags/,product,200,https://insertshub.com/product/cardboard-inserts-for-bags/,Cardboard Inserts for Bags Wholesale Sizing | inserts hub,"Cardboard Inserts For Bags prevent creasing/folding for apparel, textiles, and prints. Wholesale supply, custom sizing, and fast fulfillment.",Cardboard Inserts For Bags,"index,follow",Legitimate,https://insertshub.com/product/cardboard-inserts-for-bags/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/custom-plastic-inserts/,product,200,https://insertshub.com/product/custom-plastic-inserts/,Custom Plastic Inserts For Food Grade | Inserts Hub,"Custom Plastic Inserts secure sensitive products with precision, visibility, and moisture resistance. Ideal for food-grade and wholesale orders.",Custom Plastic Inserts,"index,follow",Legitimate,https://insertshub.com/product/custom-plastic-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/carton-inserts/,product,200,https://insertshub.com/product/carton-inserts/,Custom Carton Inserts Wholesale & Packaging | Inserts Hub,"Carton inserts secure products inside boxes, preventing damage and separation. Wholesale supply of die-cut custom box inserts and dividers.",Carton Inserts,"index,follow",Legitimate,https://insertshub.com/product/carton-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/custom-boxes-with-foam-inserts/,product,200,https://insertshub.com/product/custom-boxes-with-foam-inserts/,Custom Boxes with Foam Inserts Wholesale | Inserts Hub,Custom Boxes With Foam Inserts provide superior shock protection for luxury and sensitive items. Wholesale foam inserts for packaging.,Custom Boxes With Foam Inserts,"index,follow",Legitimate,https://insertshub.com/product/custom-boxes-with-foam-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/molded-pulp-inserts/,product,200,https://insertshub.com/product/molded-pulp-inserts/,Custom Molded Pulp Inserts – Eco-Friendly Trays | Inserts Hub,"Request custom molded pulp inserts and trays made for secure product fit, shipping protection, retail display, and wholesale packaging",Molded Pulp Inserts,"index,follow",Legitimate,https://insertshub.com/product/molded-pulp-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/corrugated-inserts/,product,200,https://insertshub.com/product/corrugated-inserts/,Order Corrugated Inserts Wholesale | Inserts Hub,Corrugated Inserts provide maximum protection and cushioning for shipping fragile items. Wholesale supply of custom cardboard inserts and dividers.,Corrugated Inserts,"index,follow",Legitimate,https://insertshub.com/product/corrugated-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 15 FAQs preserved."
https://insertshub.com/product/die-cut-cardboard-inserts/,product,200,https://insertshub.com/product/die-cut-cardboard-inserts/,Die Cut Cardboard Inserts | Bulk Wholesale | Inserts Hub,Order die cut cardboard inserts in bulk for reliable product protection and cost-effective packaging. Trusted wholesale supplier — Inserts Hub.,Die Cut Cardboard Inserts,"index,follow",Legitimate,https://insertshub.com/product/die-cut-cardboard-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 10 FAQs preserved."
https://insertshub.com/product/kraft-cardboard-inserts/,product,200,https://insertshub.com/product/kraft-cardboard-inserts/,Order Kraft Cardboard Inserts & Packaging | Inserts Hub,"Order custom kraft cardboard inserts & packaging at Inserts Hub. Durable, eco-friendly protection for your products. Fast turnaround, free quote today!",Kraft Cardboard Inserts,"index,follow",Legitimate,https://insertshub.com/product/kraft-cardboard-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 10 FAQs preserved."
https://insertshub.com/product/white-cardboard-inserts/,product,200,https://insertshub.com/product/white-cardboard-inserts/,Custom White Cardboard Inserts Packaging | Inserts Hub,"Get custom white cardboard inserts packaging at Inserts Hub. Durable, eco-friendly designs tailored to protect and present your products. Order now!",White Cardboard Inserts,"index,follow",Legitimate,https://insertshub.com/product/white-cardboard-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 10 FAQs preserved."
https://insertshub.com/product/rigid-box-cardboard-inserts/,product,200,https://insertshub.com/product/rigid-box-cardboard-inserts/,Order Rigid Box Cardboard Inserts Wholesale | Inserts Hub,"Order wholesale rigid box cardboard inserts from Inserts Hub. Durable, custom-fit protection for packaging. Competitive bulk rates. Shop now!",Rigid Box Cardboard Inserts,"index,follow",Legitimate,https://insertshub.com/product/rigid-box-cardboard-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 10 FAQs preserved."
https://insertshub.com/product/cardboard-box-divider-inserts/,product,200,https://insertshub.com/product/cardboard-box-divider-inserts/,Cardboard Box Divider Inserts Wholesale | Inserts Hub,"Protect your products in transit with wholesale cardboard box divider inserts from Inserts Hub. Custom sizes, sturdy materials, and fast bulk delivery.",Cardboard Box Divider Inserts,"index,follow",Legitimate,https://insertshub.com/product/cardboard-box-divider-inserts/,Preserved at the same URL,"Slug, trailing slash, Yoast title/description, 4 images and 10 FAQs preserved."
https://insertshub.com/category/1/,spam doorway category archive,200,https://insertshub.com/category/1/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/25/,spam doorway category archive,200,https://insertshub.com/category/25/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/adobe-generative-ai-3-2/,spam doorway category archive,200,https://insertshub.com/category/adobe-generative-ai-3-2/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/adobe-generative-ai-8-2/,spam doorway category archive,200,https://insertshub.com/category/adobe-generative-ai-8-2/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/bez-rubriki/,spam doorway category archive,200,https://insertshub.com/category/bez-rubriki/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/blog/,spam doorway category archive,200,https://insertshub.com/category/blog/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/boaboa-pt/,spam doorway category archive,200,https://insertshub.com/category/boaboa-pt/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/botteganapule-com/,spam doorway category archive,200,https://insertshub.com/category/botteganapule-com/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/casino/,spam doorway category archive,410,,,,,n/a,MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/casino-online-2/,spam doorway category archive,410,,,,,n/a,MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/casino1/,spam doorway category archive,410,,,,,n/a,MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/casino2/,spam doorway category archive,410,,,,,n/a,MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/casino3/,spam doorway category archive,410,,,,,n/a,MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/casino4/,spam doorway category archive,410,,,,,n/a,MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/cmgv-es/,spam doorway category archive,200,https://insertshub.com/category/cmgv-es/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/computers-games/,spam doorway category archive,200,https://insertshub.com/category/computers-games/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/crobar-co-uk-2/,spam doorway category archive,200,https://insertshub.com/category/crobar-co-uk-2/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/forex-news/,spam doorway category archive,200,https://insertshub.com/category/forex-news/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/melhorcasinoonlineportugal-com/,spam doorway category archive,410,,,,,n/a,MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/montecatini-cl/,spam doorway category archive,200,https://insertshub.com/category/montecatini-cl/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/my-texts/,spam doorway category archive,200,https://insertshub.com/category/my-texts/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/new-casino/,spam doorway category archive,410,,,,,n/a,MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/news/,spam doorway category archive,200,https://insertshub.com/category/news/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/om/,spam doorway category archive,200,https://insertshub.com/category/om/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/om-cc/,spam doorway category archive,200,https://insertshub.com/category/om-cc/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/papeleriaeliris-com-mx/,spam doorway category archive,200,https://insertshub.com/category/papeleriaeliris-com-mx/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/public/,spam doorway category archive,200,https://insertshub.com/category/public/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/sanodelucas-cl/,spam doorway category archive,200,https://insertshub.com/category/sanodelucas-cl/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
https://insertshub.com/category/spiele/,spam doorway category archive,200,https://insertshub.com/category/spiele/,,,,"index,follow",MALWARE — injected doorway,,410 Gone,The site has never published a blog post; the entire /category/ namespace was created by the compromise. Excluded from the sitemap.
